model,mse,mae,mape
NN1,0.001923,0.024257,0.108752
NN2,0.003337,0.038251,0.166587
NN3,0.00461,0.038366,0.136292
NN4,0.00617,0.054588,0.210353
NN5,0.002053,0.026375,0.118226
NN6,0.003176,0.031766,0.129258
NN7,0.004134,0.039257,0.153349
NN8,0.006157,0.051763,0.190623
NN9,0.001343,0.016273,0.073888
NN10,0.003353,0.042451,0.208848
